515,301
560,303
595,298
600,288
605,270
610,240
615,221
630,182
670,181
710,179
755,178
795,179
835,178
885,178
930,177
980,177
1020,177
1060,176
1105,175
1150,176
1195,175
1245,175
1285,175
1325,174
1375,174
1420,174
1445,171
1455,162
1460,152
1465,143
1470,133
1475,124
1485,115
1495,106
1515,98
1540,91
1570,86
1605,80
1645,77
1690,74
1730,70
1765,70
1810,69
1855,68
1900,66
1940,66
1985,68
2025,66
2075,66
2115,66
2160,64
2205,64
2255,63
2300,63
2350,64
2395,64
2440,64
2480,65
