-40,76.8239
10,75.8065
60,76.784
105,76.7661
150,75.7506
190,77.7297
235,75.7167
285,75.6968
330,75.6788
375,75.6608
415,76.6424
455,75.6289
500,75.611
515,83.585
520,93.5581
525,112.509
530,142.432
535,161.383
540,181.331
565,196.283
600,197.267
640,196.253
680,199.23
720,199.214
865,200.154
910,201.133
955,202.113
995,201.099
1030,200.088
1070,201.069
1115,201.051
1160,202.031
1210,203.008
1255,202.991
1295,201.977
1340,202.957
1365,206.937
1375,215.91
1380,225.883
1385,234.859
1390,244.832
1395,253.807
1405,262.781
1420,271.753
1435,279.727
1465,286.697
1490,292.672
1525,296.648
1560,301.622
1600,303.601
1645,305.578
1690,305.56
1735,305.542
1775,308.519
1815,308.503
1860,310.48
1910,310.46
1955,312.437
1995,310.426
2030,311.409
2070,311.394
2120,313.369
2160,311.358
2200,312.339
2240,313.321
2280,313.305
2325,311.292
2370,310.276
2405,311.26
2450,310.244
