# x,Curve1
15,14.7059
40,14.7059
50,14.4118
60,14.7059
80,14.8039
105,15
120,14.8039
145,14.8039
165,14.902
185,14.902
215,14.902
235,14.7059
265,14.8039
275,15
315,14.8039
340,14.8039
365,14.6078
380,14.902
415,14.902
440,14.7059
465,14.8039
490,14.902
505,15
510,16.4706
515,17.8431
520,20.2941
525,23.1373
530,24.1176
540,24.902
565,24.902
585,25.098
605,25.098
610,24.6078
615,24.2157
620,22.2549
625,20.3922
630,18.9216
645,18.1373
650,18.6275
660,19.0196
665,19.4118
670,19.902
680,20.2941
685,20.6863
690,21.1765
700,21.5686
705,21.9608
725,22.2549
730,22.7451
745,22.9412
765,23.9216
775,24.3137
785,24.7059
800,25
815,25.2941
825,25.6863
845,25.6863
855,26.0784
875,26.3725
890,26.6667
915,26.7647
935,26.9608
955,27.0588
970,27.2549
1015,27.549
1035,27.451
1050,27.6471
1070,27.549
1085,27.8431
1105,27.7451
1125,27.7451
1145,27.8431
1170,27.9412
1190,27.9412
1210,27.8431
1230,27.8431
1255,27.9412
1275,27.7451
1295,28.0392
1310,27.9412
1335,28.0392
1360,27.9412
1380,28.0392
1400,27.8431
1425,28.0392
1445,27.9412
1470,27.9412
1495,28.0392
1515,27.8431
1535,28.0392
1555,28.0392
1575,28.0392
1595,28.0392
1620,27.9412
1635,27.8431
1660,28.0392
1680,28.0392
1705,27.9412
1725,27.9412
1745,27.9412
1770,27.9412
1795,27.8431
1815,27.9412
1840,27.9412
1865,27.9412
1880,28.1373
1900,27.9412
1920,28.1373
1945,27.9412
1965,27.9412
1985,28.0392
1995,27.7451
2015,27.8431
2040,27.9412
2055,27.8431
2080,27.9412
2105,27.8431
2130,27.9412
2155,27.9412
2175,28.0392
2200,27.8431
2225,27.9412
2235,27.6471
2240,25.1961
2245,22.8431
2250,20.3922
2255,18.0392
2270,17.7451
2295,17.8431
2320,17.7451
2335,17.8431
2340,19.8039
2345,21.1765
2350,23.1373
