# Dämpfung
#
# f / MHz, A0 / dBm, A / dBm
2	-8.3	-8.9
4	-6.1	-7.8
6	-5.4	-7.9
8	-4.5	-7.5
10	-4.6	-8.0
12	-4.9	-8.5
14	-4.5	-8.8
16	-5.7	-9.9
18	-5.5	-10.1
20	-5.7	-10.6
22	-5.8	-11.0
24	-5.5	-11.2
26	-5.7	-11.6
28	-5.9	-12.0
30	-5.9	-12.2
32	-5.7	-12.3
34	-6.0	-12.9
36	-6.0	-13.2
38	-5.9	-13.4
40	-6.0	-13.8
42	-6.0	-14.1
44	-6.1	-14.4
46	-4.9	-13.8
48	-5.4	-14.5
50	-5.2	-14.3
